"Date(UTC)","UnixTimeStamp","Value"
"5/29/2021","1622246400","48"
"5/30/2021","1622332800","25"
"5/31/2021","1622419200","73"
"6/1/2021","1622505600","44"
"6/2/2021","1622592000","171"
"6/3/2021","1622678400","114"
"6/4/2021","1622764800","94"
"6/5/2021","1622851200","18"
"6/6/2021","1622937600","54"
"6/7/2021","1623024000","223"
"6/8/2021","1623110400","151"
"6/9/2021","1623196800","138"
"6/10/2021","1623283200","188"
"6/11/2021","1623369600","123"
"6/12/2021","1623456000","89"
"6/13/2021","1623542400","161"
"6/14/2021","1623628800","106"
"6/15/2021","1623715200","277"
"6/16/2021","1623801600","774"
"6/17/2021","1623888000","1797"
"6/18/2021","1623974400","1613"
"6/19/2021","1624060800","1523"
"6/20/2021","1624147200","1533"
"6/21/2021","1624233600","1625"
"6/22/2021","1624320000","3577"
"6/23/2021","1624406400","4100"
"6/24/2021","1624492800","3934"
"6/25/2021","1624579200","3911"
"6/26/2021","1624665600","3997"
"6/27/2021","1624752000","4236"
"6/28/2021","1624838400","4291"
"6/29/2021","1624924800","4338"
"6/30/2021","1625011200","4353"
"7/1/2021","1625097600","4364"
"7/2/2021","1625184000","4309"
"7/3/2021","1625270400","4321"
"7/4/2021","1625356800","4332"
"7/5/2021","1625443200","4504"
"7/6/2021","1625529600","4495"
"7/7/2021","1625616000","4346"
"7/8/2021","1625702400","4525"
"7/9/2021","1625788800","4632"
"7/10/2021","1625875200","4611"
"7/11/2021","1625961600","4631"
"7/12/2021","1626048000","4698"
"7/13/2021","1626134400","4755"
"7/14/2021","1626220800","5042"
"7/15/2021","1626307200","4948"
"7/16/2021","1626393600","4886"
"7/17/2021","1626480000","4818"
"7/18/2021","1626566400","4707"
"7/19/2021","1626652800","4797"
"7/20/2021","1626739200","4825"
"7/21/2021","1626825600","4832"
"7/22/2021","1626912000","5011"
"7/23/2021","1626998400","4827"
"7/24/2021","1627084800","1114"
"7/25/2021","1627171200","4426"
"7/26/2021","1627257600","5332"
"7/27/2021","1627344000","5438"
"7/28/2021","1627430400","5512"
"7/29/2021","1627516800","5325"
"7/30/2021","1627603200","4971"
"7/31/2021","1627689600","4314"
"8/1/2021","1627776000","4447"
"8/2/2021","1627862400","4400"
"8/3/2021","1627948800","4421"
"8/4/2021","1628035200","4536"
"8/5/2021","1628121600","4644"
"8/6/2021","1628208000","2345"
"8/7/2021","1628294400","324"
"8/8/2021","1628380800","320"
"8/9/2021","1628467200","364"
"8/10/2021","1628553600","295"
"8/11/2021","1628640000","289"
"8/12/2021","1628726400","513"
"8/13/2021","1628812800","253"
"8/14/2021","1628899200","249"
"8/15/2021","1628985600","224"
"8/16/2021","1629072000","404"
"8/17/2021","1629158400","527"
"8/18/2021","1629244800","429"
"8/19/2021","1629331200","436"
"8/20/2021","1629417600","371"
"8/21/2021","1629504000","274"
"8/22/2021","1629590400","267"
"8/23/2021","1629676800","242"
"8/24/2021","1629763200","799"
"8/25/2021","1629849600","1098"
"8/26/2021","1629936000","857"
"8/27/2021","1630022400","359"
"8/28/2021","1630108800","705"
"8/29/2021","1630195200","236"
"8/30/2021","1630281600","718"
"8/31/2021","1630368000","2309"
"9/1/2021","1630454400","26326"
"9/2/2021","1630540800","10205"
"9/3/2021","1630627200","9445"
"9/4/2021","1630713600","9721"
"9/5/2021","1630800000","11920"
"9/6/2021","1630886400","13301"
"9/7/2021","1630972800","12812"
"9/8/2021","1631059200","10976"
"9/9/2021","1631145600","18050"
"9/10/2021","1631232000","31163"
"9/11/2021","1631318400","106839"
"9/12/2021","1631404800","267608"
"9/13/2021","1631491200","115475"
"9/14/2021","1631577600","124495"
"9/15/2021","1631664000","136745"
"9/16/2021","1631750400","128495"
"9/17/2021","1631836800","77614"
"9/18/2021","1631923200","79071"
"9/19/2021","1632009600","76844"
"9/20/2021","1632096000","62969"
"9/21/2021","1632182400","66540"
"9/22/2021","1632268800","55432"
"9/23/2021","1632355200","59888"
"9/24/2021","1632441600","49999"
"9/25/2021","1632528000","48730"
"9/26/2021","1632614400","41324"
"9/27/2021","1632700800","38789"
"9/28/2021","1632787200","37341"
"9/29/2021","1632873600","36531"
"9/30/2021","1632960000","37560"
"10/1/2021","1633046400","36607"
"10/2/2021","1633132800","31722"
"10/3/2021","1633219200","31617"
"10/4/2021","1633305600","33217"
"10/5/2021","1633392000","31108"
"10/6/2021","1633478400","28683"
"10/7/2021","1633564800","26212"
"10/8/2021","1633651200","25912"
"10/9/2021","1633737600","36597"
"10/10/2021","1633824000","41559"
"10/11/2021","1633910400","37902"
"10/12/2021","1633996800","39015"
"10/13/2021","1634083200","32918"
"10/14/2021","1634169600","31659"
"10/15/2021","1634256000","34374"
"10/16/2021","1634342400","27880"
"10/17/2021","1634428800","35581"
"10/18/2021","1634515200","31372"
"10/19/2021","1634601600","36025"
"10/20/2021","1634688000","31422"
"10/21/2021","1634774400","27044"
"10/22/2021","1634860800","26192"
"10/23/2021","1634947200","24445"
"10/24/2021","1635033600","38788"
"10/25/2021","1635120000","26696"
"10/26/2021","1635206400","45962"
"10/27/2021","1635292800","51498"
"10/28/2021","1635379200","37721"
"10/29/2021","1635465600","33851"
"10/30/2021","1635552000","21005"
"10/31/2021","1635638400","25183"
"11/1/2021","1635724800","25769"
"11/2/2021","1635811200","24051"
"11/3/2021","1635897600","23020"
"11/4/2021","1635984000","20008"
"11/5/2021","1636070400","21539"
"11/6/2021","1636156800","20000"
"11/7/2021","1636243200","20533"
"11/8/2021","1636329600","22725"
"11/9/2021","1636416000","20942"
"11/10/2021","1636502400","29098"
"11/11/2021","1636588800","21954"
"11/12/2021","1636675200","22942"
"11/13/2021","1636761600","22352"
"11/14/2021","1636848000","22832"
"11/15/2021","1636934400","22207"
"11/16/2021","1637020800","26817"
"11/17/2021","1637107200","24849"
"11/18/2021","1637193600","22115"
"11/19/2021","1637280000","23953"
"11/20/2021","1637366400","40913"
"11/21/2021","1637452800","34871"
"11/22/2021","1637539200","32683"
"11/23/2021","1637625600","29368"
"11/24/2021","1637712000","29780"
"11/25/2021","1637798400","29682"
"11/26/2021","1637884800","33672"
"11/27/2021","1637971200","24535"
"11/28/2021","1638057600","31142"
"11/29/2021","1638144000","29027"
"11/30/2021","1638230400","29471"
"12/1/2021","1638316800","29514"
"12/2/2021","1638403200","25427"
"12/3/2021","1638489600","25410"
"12/4/2021","1638576000","32808"
"12/5/2021","1638662400","28492"
"12/6/2021","1638748800","30668"
"12/7/2021","1638835200","26940"
"12/8/2021","1638921600","35566"
"12/9/2021","1639008000","27253"
"12/10/2021","1639094400","28210"
"12/11/2021","1639180800","33508"
"12/12/2021","1639267200","31224"
"12/13/2021","1639353600","39851"
"12/14/2021","1639440000","28793"
"12/15/2021","1639526400","26855"
"12/16/2021","1639612800","20756"
"12/17/2021","1639699200","21004"
"12/18/2021","1639785600","20749"
"12/19/2021","1639872000","21604"
"12/20/2021","1639958400","22793"
"12/21/2021","1640044800","21277"
"12/22/2021","1640131200","22052"
"12/23/2021","1640217600","23394"
"12/24/2021","1640304000","19796"
"12/25/2021","1640390400","15123"
"12/26/2021","1640476800","18253"
"12/27/2021","1640563200","21030"
"12/28/2021","1640649600","24811"
"12/29/2021","1640736000","22237"
"12/30/2021","1640822400","29046"
"12/31/2021","1640908800","30178"
"1/1/2022","1640995200","31580"
"1/2/2022","1641081600","33447"
"1/3/2022","1641168000","34253"
"1/4/2022","1641254400","46264"
"1/5/2022","1641340800","44508"
"1/6/2022","1641427200","39768"
"1/7/2022","1641513600","41744"
"1/8/2022","1641600000","33433"
"1/9/2022","1641686400","17798"
"1/10/2022","1641772800","35336"
"1/11/2022","1641859200","28693"
"1/12/2022","1641945600","26543"
"1/13/2022","1642032000","28879"
"1/14/2022","1642118400","30390"
"1/15/2022","1642204800","30430"
"1/16/2022","1642291200","34840"
"1/17/2022","1642377600","34896"
"1/18/2022","1642464000","34700"
"1/19/2022","1642550400","31089"
"1/20/2022","1642636800","38749"
"1/21/2022","1642723200","48654"
"1/22/2022","1642809600","45992"
"1/23/2022","1642896000","30276"
"1/24/2022","1642982400","63581"
"1/25/2022","1643068800","57715"
"1/26/2022","1643155200","71334"
"1/27/2022","1643241600","50949"
"1/28/2022","1643328000","39402"
"1/29/2022","1643414400","35693"
"1/30/2022","1643500800","51373"
"1/31/2022","1643587200","36674"
"2/1/2022","1643673600","36789"
"2/2/2022","1643760000","36313"
"2/3/2022","1643846400","37498"
"2/4/2022","1643932800","35721"
"2/5/2022","1644019200","32113"
"2/6/2022","1644105600","72845"
"2/7/2022","1644192000","70366"
"2/8/2022","1644278400","78680"
"2/9/2022","1644364800","85142"
"2/10/2022","1644451200","73865"
"2/11/2022","1644537600","67814"
"2/12/2022","1644624000","66820"
"2/13/2022","1644710400","60008"
"2/14/2022","1644796800","68086"
"2/15/2022","1644883200","76133"
"2/16/2022","1644969600","73823"
"2/17/2022","1645056000","76124"
"2/18/2022","1645142400","75234"
"2/19/2022","1645228800","72019"
"2/20/2022","1645315200","94795"
"2/21/2022","1645401600","100826"
"2/22/2022","1645488000","105852"
"2/23/2022","1645574400","87250"
"2/24/2022","1645660800","106633"
"2/25/2022","1645747200","80525"
"2/26/2022","1645833600","81001"
"2/27/2022","1645920000","89372"
"2/28/2022","1646006400","79773"
"3/1/2022","1646092800","77414"
"3/2/2022","1646179200","122384"
"3/3/2022","1646265600","73572"
"3/4/2022","1646352000","46390"
"3/5/2022","1646438400","30237"
"3/6/2022","1646524800","34519"
"3/7/2022","1646611200","61283"
"3/8/2022","1646697600","71260"
"3/9/2022","1646784000","71514"
"3/10/2022","1646870400","47547"
"3/11/2022","1646956800","53198"
"3/12/2022","1647043200","58682"
"3/13/2022","1647129600","44570"
"3/14/2022","1647216000","52050"
"3/15/2022","1647302400","55317"
"3/16/2022","1647388800","63500"
"3/17/2022","1647475200","60147"
"3/18/2022","1647561600","55490"
"3/19/2022","1647648000","48398"
"3/20/2022","1647734400","53226"
"3/21/2022","1647820800","57417"
"3/22/2022","1647907200","66245"
"3/23/2022","1647993600","103030"
"3/24/2022","1648080000","100366"
"3/25/2022","1648166400","82758"
"3/26/2022","1648252800","56258"
"3/27/2022","1648339200","64706"
"3/28/2022","1648425600","73967"
"3/29/2022","1648512000","71999"
"3/30/2022","1648598400","84469"
"3/31/2022","1648684800","70387"
"4/1/2022","1648771200","82005"
"4/2/2022","1648857600","138670"
"4/3/2022","1648944000","62239"
"4/4/2022","1649030400","53817"
"4/5/2022","1649116800","49022"
"4/6/2022","1649203200","62224"
